k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,49027.25417010912,0.018450950559264944,19.801238202382965,7.049824507402723
3,48368.3939227663,0.015959342564093534,16.815849432581008,6.344401353773456
4,47827.478765688014,0.015932088056422496,15.080808531120692,5.782948198133317
5,47316.71173404193,0.016493386739519316,14.106389300862181,5.4625854085021315
6,46952.800737904654,0.016441061278323673,12.901961198994254,5.219169703558497
8,46309.61989522337,0.016516335211144123,11.29310889931482,4.8830309085571075
10,45748.33080717054,0.016869837085483987,10.222965580591994,4.652288392525822
12,45228.483494523454,0.016322821819618544,9.47564242540307,4.4844160167331255
